#没有用的资料罢了，B站的中立性被钻了空子#





活动排名         视频号           活动投票数     观看数                视频标题
   14    av837685730/BV14g4y187Sk     14222       7299     肖战你的笑容，是我们最大的鼓励
   15    av625136584/BV1gt4y1U727     13127       7091     【肖战】心动卡点剪辑
   17    av242638773/BV1ye411x7BM     11752       6365     肖战 Solo
   19    av667694827/BV1Wa4y1x7xE     11165       6917     【肖战】啊..哥..太快了..
   38    av837723547/BV1Bg4y187b1     4235       2699     【肖战丨眼神杀混剪】肖战的眼睛有多好看丨心动狙击丨Done for me
   42    av752633930/BV1ak4y197ut     3960       2171     【肖战｜民国故梦】豪门贵公子的旧梦时光
   44    av455218792/BV1t5411t7xB     3764       1782     西窗烟雨 ‖ 肖战古风治愈向混剪
   46    av710126493/BV1mQ4y1M76Z     3695       2766     【肖战】BT向||肖恶魔|超A《恶之花》踩点
   47    av882691900/BV1bK4y1r79U     3577       1453     【肖战】唯一的你 | 肖学长 | 校园风混剪
   49    av412720063/BV1yV411o7PM     3480       1439     【肖战｜个人向】小冤家
   53    av200173885/BV1zz411b7Zh     3251       1556     【肖战】你热爱的将永远给你快乐，阻挡你的终将被你收服。
   55    av242680034/BV1ue41147xy     3111       1968     【肖战|E.T.】超A混剪
   56    av582673600/BV1a64y1u7Jf     3046       1300     【肖战】一个永远都在鞠躬的男孩
   57    av967734351/BV1Up4y1C7TE     2981       1114     【肖战｜个人向】A向杂志踩点混剪
   61    av840144173/BV1e54y1d7Ch     2755       3042     【肖战|Grind me down】超A超欲苏向踩点
   63    av882722906/BV1zK4y1r7rx     2657       974     【肖战/古装混剪】陌上人如玉，公子世无双
   65    av285179652/BV1kc411h7gW     2483       2293     【肖战杨紫】尬舞青年欢乐多 Let's Dance 余生请多指教 余生夫妇剧cp 勿ky
   66    av285205286/BV1Qc411h7qV     2351       1394     【肖战】跳舞心动挑战，你能坚持几秒？
   72    av582697296/BV1664y1u7Ak     2039       1054     肖战×魏无羡——吹梦到西洲
   80    av327732912/BV1FA411b7xD     1433       412     肖战，王一博，博君一肖
   81    av200212016/BV1Dz411b7ro     1428       578     【肖战心动瞬间】✦演技明场面 | 燃向合集
   83    av200188935/BV1Rz411b7Uw     1295       581     肖战—只为你的笑容不被辜负
   86    av412743571/BV1rV411o7dP     1230       462     肖战 | 一笑悬命 | 只要你在笑 世界就还好
   87    av752683081/BV1ok4y19789     1196       477     肖战 | 魏无羡 | 心生七面 善恶难辨
   88    av370149850/BV1cZ4y1x7SR     1194       497     【肖战丨让我留在你身边】热爱可抵岁月漫长 彼此保护不是说说而已
   89    av752705204/BV1Xk4y197ri     1154       560     【肖战】干净治愈甜向|《给你宇宙》坏心情都可以被干净的少年融化
   90    av412644944/BV13V411o7BR     1122       316     【肖战】GIF合集|一起舔颜叭~
   95    av840225816/BV1M54y197WV     1080       447     【肖战】顾魏个人 | 剧情向混剪 | 黑化预警
   98    av582640054/BV1p64y1u7F8     991       331     【肖战】魏无羡混剪

2020-04-09 10:40:52：
   1    av200133555/BV14z411b79Z     21211       57742     【肖战古装混剪】有眼睛的人会去看，有心的人会去感受。
   2    av840130595/BV1n54y1d7YZ     20254       38315     肖战｜裙下之臣｜世人责怪你挑起战争
   3    av625152734/BV1xt4y1U7EN     19087       21370     ［肖战］美颜系列—《我们的歌》1
   4    av285162308/BV1mc411h7Jx     18934       25427     【肖战】纵是年少风流可入画，却也自成风骨难笔拓
